INDEX ALPHABETIZED BY YIDDISH SPELLING,,זוכצעטל לויטן ייִדישן אויסלייג,,,,,,,
,,,,,,,,,
"/AZyO'R/?, /YEZhO'R/?",Belarus,אַזיאָר? יעזשאָר?,,,,,,,
"/OZYERA'N/, /AZRYA'N/",Ukraine,"אָזיעראַן, אַזריאַן",,,,,,,
/AZIRITs/,Ukraine,אַזיריץ,,,,,,,
/O'?ZERNITsE/,Belarus,אָזערניצע,,,,,,,
/O'ZERKEV/,Poland,אָזערקעוו,,,,,,,
/OZhVE/,Ukraine,אָזשווע,,,,,,,
/O'ZhENE/?,Poland,אָזשענע?,,,,,,,
/O'ZhERNE/,Ukraine,אָזשערנע,,,,,,,
/OZhREV/,Poland,אָזשרעוו,,,,,,,
/OTFO'TsK/,Poland,אָטוואָצק,,,,,,,
/OTIK/,Moldova,אָטיק,,,,,,,
"/OTENI'Y?E/, /ANTENI:'(E)/",Ukraine,"אָטעניִע, אַנטעניִ(ע)",,,,,,,
/O'?TFINEV/,Poland,אָטפֿינעוו?,,,,,,,
/ATShAKIF/,Ukraine,אַטשאַקיוו,,,,,,,
/IGL(E)/,Ukraine,איגלע,,,,,,,
/IGNATOFKE/ (stress?),Poland,איגנאַטאָווקע?,,,,,,,
/IGNATKE/,Poland,איגנאַטקע,,,,,,,
/IGNALINE/,Lithuania,איגנאַלינע,,,,,,,
/IGRUShKE/,Ukraine,איגרושקע,,,,,,,
/IHEL/,Hungary,"איהעל, אוהעל",,,,,,,
/IVONKE/,Ukraine,איוואַנקע?,,,,,,,
/IVA'NKEVITs/,Ukraine,איוואַנקעוויץ,,,,,,,
/IVO'ShKEVITs/?,Ukraine,איוואַשקעוויץ?,,,,,,,
/IFTShE/,Ukraine,איווטשע,,,,,,,
/IVYE/,Belarus,איוויע,,,,,,,
/I'?VNITsE/,Ukraine,איווניצע,,,,,,,
/IZYU'M/,Ukraine,איזיום,,,,,,,
