Yiddish	Gloss
פּאַטשקענדיק	V.PRES.PTCP
פּאַטשקעסט	V.2.SG
געפּאַטשקעט	PART
אָנגעפּאַטשקעט	UNK1
אַרומצופּאַטשקען	V.INF
אָנפּאַטשקענדיק	PRES.PTCP
פּאַטשקעסטו	V.2.SG
אַרומפּאַטשקענדיק	PRES.PTCP
אַרומפּאַטשקען	V.INF
אָנצופּאַטשקען	V.INF
פּאַציפֿיק	NOUN.MASC
פּאַציענטן	NOUN.PL
פּאַציענט	NOUN.MASC
פּאַציענטקעס	NOUN.PL
פּאַציענטקע	NOUN
פּײַטנים	NOUN.PL
פּײַטן	NOUN.MASC
פּאַוזע	NOUN.FEM
פּאַוזעס	NOUN.FEM.PL
פּאַװע	NOUN.FEM
פּאַװעס	NOUN.FEM.PL
פּאַװיליאָן	NOUN.MASC
פּאַװיליאָנען	NOUN.PL
פּאַװיאַקן	NOUN.PL
פּאַװיאַטאָװי	ADJ
פּײַאַצן	NOUN.PL
פּאַיאַץ	NOUN.MASC
פּײַאַצעװעסטו	V.2.SG
פּײַאַצעװענדיק	V.PRES.PTCP
פּײַאַצעװעסט	V.2.SG
פּײַדעס	NOUN.FEM.PL
פּײַדע	NOUN.FEM
פּיִוט	NOUN.MASC
פּײַקלערס	NOUN.MASC.PL
פּײַקלער	NOUN.MASC
פּײַנלעך	ADJ
פּײַנען	NOUN.PL
פּײַניקסט	V.2.SG
אױספּײַניקנדיק	PRES.PTCP
אױספּײַניקן	V.INF
פּײַניקסטו	V.2.SG
געפּײַניקט	PART
אױסצופּײַניקן	V.INF
פּײַניקנדיק	V.PRES.PTCP
אױסגעפּײַניקט	UNK1
פּײַניקער	NOUN.MASC
פּײַניקערס	NOUN.MASC.PL
פּײַניקונג	NOUN.FEM
פּײַניקונגען	NOUN.PL
פּאַזע	PREP
פּאַזוכעס	NOUN.FEM.PL
פּאַזוכע	NOUN.FEM
פּאַאָק	NOUN.MASC?
פּע	NOUN.MASC
פּעדאַגאָגן	NOUN.PL
פּעדאַגאָג	NOUN.MASC
פּעדאַגאָגיש	ADJ
פּעדאַגאָגיק	NOUN.FEM
פּעדאַגאָגיע	NOUN.FEM
פּעדאַגאָגיעס	NOUN.FEM.PL
פּעדאַל	NOUN.MASC?
פּעדאַנט	NOUN.MASC
פּעדאַנטן	NOUN.PL
פּעדאַנטישקײטן	NOUN.PL
פּעדאַנטישקײט	NOUN.FEM
פּעדלסט	V.2.SG
פּעדלענדיק	V.PRES.PTCP
געפּעדלט	PART
פּעדלסטו	V.2.SG
פּעדלערס	NOUN.MASC.PL
פּעדלער	NOUN.MASC
פּעדאָפֿיל	NOUN.MASC
פּעדטעכניקומען	NOUN.PL
פּעפֿערס	NOUN.MASC.PL
פּעפֿער	NOUN.MASC
פּעפֿערין	NOUN.MASC
פּעפֿערינס	NOUN.MASC.PL
פּגעים	NOUN.PL
פּגירה	NOUN.FEM
פּגירות	NOUN.PL
פּעקאַננוס	NOUN.MASC
פּעקאַנניס	NOUN.PL
פּעקעליק	NOUN.MASC
פּעקעליקעס	NOUN.PL
פּעך	NOUN.NEUT
פּעכיק	ADJ
פּעכקענדיק	V.PRES.PTCP
געפּעכקעט	PART
פּעכקעסטו	V.2.SG
פּעכקעסט	V.2.SG
פּעכאָטע	NOUN.FEM
פּעקלסטו	V.2.SG
אַװעקפּעקלען	V.INF
אַװעקצופּעקלען	V.INF
פּעקלסט	V.2.SG
אַריבערפּעקלענדיק	PRES.PTCP
איבערצופּעקלען	V.INF
אַריבערצופּעקלען	V.INF
איבערגעפּעקלט	UNK1
אַרײַנצופּעקלען	V.INF
אַריבערפּעקלען	V.INF
אַװעקגעפּעקלט	UNK1
אַרײַנפּעקלענדיק	PRES.PTCP
אַרײַנפּעקלען	V.INF
אַװעקפּעקלענדיק	PRES.PTCP
געפּעקלט	PART
אַריבערגעפּעקלט	UNK1
פּעקלענדיק	V.PRES.PTCP
אַרײַנגעפּעקלט	UNK1
איבערפּעקלען	V.INF
איבערפּעקלענדיק	PRES.PTCP
פּעקלפּאָסט	NOUN.FEM/NEUT
פּעקלטור	NOUN.MASC
פּעקלטורן	NOUN.PL
פּלא	NOUN.FEM
פּלאים	NOUN.PL
פּעלענע	NOUN.FEM
פּעלענעס	NOUN.FEM.PL
פּעלערינעס	NOUN.FEM.PL
פּעלערינקל	NOUN.DIM.SG
פּעלערינקלעך	NOUN.DIM.PL
פּעלערינקעלעך	NOUN.DIM.PL
פּעלערינקעלע	NOUN.DIM.SG
פּעלערינע	NOUN.FEM
פּעליקאַנען	NOUN.PL
פּעליקאַן	NOUN.MASC
פּלאָימדיק	ADJ
אָנגעפּעלצט	UNK1
אָנפּעלצנדיק	PRES.PTCP
פּעלצנדיק	V.PRES.PTCP
פּעלצסט	V.2.SG
אָנצופּעלצן	V.INF
פּעלצסטו	V.2.SG
פּעלצעלע	NOUN.DIM.SG
געפּעלצט	PART
פּעלצעלעך	NOUN.DIM.PL
אָנפּעלצן	V.INF
פּעלצל	NOUN.DIM.SG
פּעלץ	NOUN.MASC
פּעלצערן	ADJ
פּעלצלעך	NOUN.PL
פּעלװיס	NOUN.MASC?
פּעמפּיקל	NOUN.DIM.SG
פּעמפּיקלעך	NOUN.DIM.PL
פּעמפּיק	NOUN.MASC
פּעמפּיקן	NOUN.PL
פּעמפּיקעלע	NOUN.DIM.SG
פּעמפּיקעלעך	NOUN.DIM.PL
פּען	NOUN.FEM
פּענען	NOUN.PL
פּענעס	NOUN.PL
פּענאַל	NOUN.MASC?
פּענדזע	NOUN.FEM?
אױספּענדזלען	V.INF
פּענדזלסטו	V.2.SG
פּענדזל	NOUN.MASC
אױספּענדזלענדיק	PRES.PTCP
אױסגעפּענדזלט	UNK1
פּענדזלענדיק	V.PRES.PTCP
פּענדזלסט	V.2.SG
אױסצופּענדזלען	V.INF
געפּענדזלט	PART
פּענעץ	NOUN.MASC
פּענעצעלע	NOUN.DIM.SG
פּענעצן	NOUN.PL
פּענעצער	NOUN.PL
פּענעצל	NOUN.DIM.SG
פּענעצעלעך	NOUN.DIM.PL
פּענעצלעך	NOUN.DIM.PL
פּעני	NOUN.MASC
פּעניס	NOUN.MASC
פּעניסן	NOUN.PL
פּעניצילין	NOUN.MASC
פּענקע	NOUN.FEM
פּענקעס	NOUN.FEM.PL
פּענכערס	NOUN.MASC.PL
פּענכער	NOUN.MASC
פּענכערשטײנער	NOUN.PL
פּענכערשטײן	NOUN.MASC
פּענסנע	NOUN.FEM/NEUT
פּענסיע	NOUN.FEM
פּענסיעס	NOUN.FEM.PL
פּענסיאָנערן	NOUN.PL
פּענסיאָנער	NOUN.MASC
פּענסיאָנרנדיק	V.PRES.PTCP
פּענסיאָנרסטו	V.2.SG
פּענסיאָנרסט	V.2.SG
פּענסיאָנירט	PART
פּענטאַגאָנען	NOUN.PL
פּענטעסטו	V.2.SG
פּענטענדיק	V.PRES.PTCP
געפּענטעט	PART
פּענטעסט	V.2.SG
פּענטלעך	NOUN.PL
פּענציקל	NOUN.DIM.SG
פּענציקעלעך	NOUN.DIM.PL
פּענצאַק	NOUN.MASC
פּענציקעלע	NOUN.DIM.SG
פּענציקלעך	NOUN.DIM.PL
פּענטיוך	NOUN.MASC
פּענטיוכעס	NOUN.PL
פּענומברעס	NOUN.FEM.PL
פּענומברע	NOUN.FEM
פּעניע	NOUN.FEM
פּעניעס	NOUN.FEM.PL
פּעפּקעס	NOUN.MASC.PL
פּעפּקע	NOUN.MASC
פּערעדניע	NOUN.FEM
פּערעדניעס	NOUN.FEM.PL
פּערעלען	N.DAT
פּערעלעס	N
פּערענע	NOUN.FEM
פּערענעס	NOUN.FEM.PL
פּרא־אָדמס	NOUN.MASC.PL
פּרא־אָדם	NOUN.MASC
פּערעסאַדקעס	NOUN.FEM.PL
פּערעסאַדקע	NOUN.FEM
פּערעסיאַדקעס	NOUN.FEM.PL
פּערעסיאַדקע	NOUN.FEM
פּערפֿעקט	ADJ.SG.PRED
פּערפֿעקציע	NOUN.FEM
פּערפֿעקציעס	NOUN.FEM.PL
פּערגאַמענט	NOUN.MASC?
פּירות	NOUN.PL
פּרי	NOUN.FEM
פּעריפֿעריע	NOUN.MASC
פּעריפֿעריעס	NOUN.MASC.PL
פּערעלע	NOUN.DIM.SG
פּערלדיק	ADJ
פּערלעך	NOUN.DIM.PL
פּערלס	N
פּערעלעך	NOUN.DIM.PL
פּערלן	N.DAT
פּערלגריץ	NOUN.FEM
פּערלגרױפּן	NOUN.PL
פּערלמוטערן	ADJ
פּערלמוטער	NOUN.FEM
פּרוכתן	NOUN.PL
פּערסער	NOUN
פּערסאָנאַליטעט	NOUN.FEM
פּערסאָנאַליטעטן	NOUN.PL
פּערסאָנאַזשן	NOUN.PL
פּערסאָנאַזש	NOUN.MASC
פּערספּעצטיװעס	NOUN.PL
פּערספּעצטיװע	NOUN
פּערספּעקטיװ	NOUN.FEM
פּערספּעקטיװן	NOUN.PL
פּערסיע	NOUN.NEUT
פּערסיער	NOUN.NEUT
פּעריאַלן	NOUN.PL
פּעריאַל	NOUN.MASC
פּעריאָדן	NOUN.PL
פּעריאָד	NOUN.MASC
פּעריאָדיש	ADJ
פּערזענלעכקײטן	NOUN.PL
פּערזענלעכקײט	NOUN.FEM
פּערזאָנדל	NOUN.DIM.SG
פּערזאָנען	NOUN.PL
פּערזאָן	NOUN.FEM
פּערזאָנדלעך	NOUN.DIM.PL
פּערזאָנדעלע	NOUN.DIM.SG
פּערזאָנדעלעך	NOUN.DIM.PL
פּערזאָניפֿיקאַציע	NOUN.FEM
פּערזאָניפֿיקאַציעס	NOUN.FEM.PL
פּערזאָניפֿיצירסט	V.2.SG
פּערזאָניפֿיצירסטו	V.2.SG
פּערזאָניפֿיצירנדיק	V.PRES.PTCP
פּעסימיסטן	NOUN.PL
פּעסימיסט	NOUN.MASC
פּעסימיסטקעס	NOUN.PL
פּעסימיסטקע	NOUN
פּעסימיזם	NOUN.MASC
פּעסימיזמען	NOUN.PL
פּעסטעסט	V.2.SG
פּעסטענדיק	V.PRES.PTCP
געפּעסטעט	PART
פּעסטעסטו	V.2.SG
פּעסיען	N.DAT
פּעסיעס	N
פּעטיציעס	NOUN.FEM.PL
פּעטיציע	NOUN.FEM
פּעטליעס	NOUN.FEM.PL
פּעטליע	NOUN.FEM
פּעטליורען	N.DAT
פּעטליורעס	N
פּעטרישקעס	NOUN.FEM.PL
פּעטרישקע	NOUN.FEM
פּעצאַ	NOUN.MASC/FEM
פּעטשאַ	NOUN.MASC/FEM
פּעטשאַטעק	NOUN.MASC
פּעטשע	NOUN.MASC/FEM
פּעטשעריצע	NOUN.FEM
פּעטשעריצעס	NOUN.FEM.PL
אָנפּעטשלענדיק	PRES.PTCP
פּעטשלענדיק	V.PRES.PTCP
פּעטשלסטו	V.2.SG
פּעטשלסט	V.2.SG
געפּעטשלט	PART
אָנגעפּעטשלט	UNK1
אָנצופּעטשלען	V.INF
אָנפּעטשלען	V.INF
פּעצקעס	NOUN.PL
פּעצקע	NOUN
פּײדעס	?.PL
פּאות	NOUN.PL
פּאהלע	NOUN.DIM.SG
פּאהלעך	NOUN.DIM.PL
געפּגרט	PART
פּגרים	NOUN.PL
פּגרסטו	V.2.SG
פּגרסט	V.2.SG
פּגר	NOUN.MASC
פּײגערנדיק	V.PRES.PTCP
פּלא	NOUN
פּײלעדיק	ADJ
פּרקים	NOUN.PL
פּרק	NOUN.MASC
פּירושים	NOUN.PL
פּירוש	NOUN.MASC
פּײסאַזשן	NOUN.PL
פּײסאַזש	NOUN
פּסח	NOUN.MASC
פּסחדיק	ADJ
פּסחיק	ADJ
פּײטערבאַרג	NOUN
פּײזאַזש	NOUN.MASC
פּײזאַזשן	NOUN.PL
פּגמים	NOUN.PL
פּגימל	NOUN.DIM.SG
פּגימות	NOUN.PL
פּגימלעך	NOUN.DIM.PL
פּגימעלעך	NOUN.DIM.PL
פּגימעלע	NOUN.DIM.SG
טבעת	NOUN.MASC
פּיד־סמעטענע	NOUN.FEM
פּידקאָװעס	NOUN.FEM.PL
פּידקאָװע	NOUN.FEM
פּידמורקעס	NOUN.FEM.PL
פּידמורקע	NOUN.FEM
פּידפּאַליק	NOUN.MASC
פּידפּאַליקעס	NOUN.PL
פּידפּאַלקעס	NOUN.PL
פּידזשאַקן	NOUN.PL
פּידזשאַק	NOUN.MASC
פּיוטים	NOUN.PL
פּיק	NOUN.MASC
אָנצופּיקן	V.INF
אָנפּיקן	V.INF
אָנגעפּיקט	UNK1
אָנפּיקנדיק	PRES.PTCP
פּיקעסט	V.2.SG
געפּיקעט	PART
פּיקע	NOUN.FEM
פּיקעס	NOUN.FEM.PL
פּיקעסטו	V.2.SG
פּיקענדיק	V.PRES.PTCP
פּיקעטירנדיק	V.PRES.PTCP
פּיקעטירסטו	V.2.SG
פּיקעטירסט	V.2.SG
אָנפּיקעװען	V.INF
פּיקעװענדיק	V.PRES.PTCP
געפּיקעװעט	PART
אָנגעפּיקעװעט	UNK1
פּיקעװעסט	V.2.SG
פּיקעװעסטו	V.2.SG
אָנצופּיקעװען	V.INF
אָנפּיקעװענדיק	PRES.PTCP
פּיקח	NOUN.MASC
פּיקחים	NOUN.PL
פּיקחטע	NOUN
פּיקײעכטעס	NOUN.PL
פּיקניקס	NOUN.PL
פּיקניקן	NOUN.PL
פּיקניק	NOUN.MASC
פּיקהאָלץ	NOUN.MASC
פּיקהאָלצן	NOUN.PL
פּילן	NOUN.PL
פּיל	NOUN.FEM
פּילדערסט	V.2.SG
געפּילדערט	PART
פּילדערנדיק	V.PRES.PTCP
פּילדערסטו	V.2.SG
פּלגש	NOUN.MASC?
פּלגשים	NOUN.PL
פּילעניצעס	NOUN.FEM.PL
פּילעניצע	NOUN.FEM
פּילעװעסטו	V.2.SG
פּילעװענדיק	V.PRES.PTCP
געפּילעװעט	PART
פּילעװעסט	V.2.SG
פּילגרים	NOUN.MASC
פּילגרימען	NOUN.PL
פּילגרימקע	NOUN
פּילגרימקעס	NOUN.PL
פּיליניצעס	NOUN.FEM.PL
פּיליניצע	NOUN.FEM
פּילקע	NOUN.FEM
פּילקעס	NOUN.FEM.PL
פּילנעװעסטו	V.2.SG
געפּילנעװעט	PART
פּילנעװענדיק	V.PRES.PTCP
פּילנעװעסט	V.2.SG
פּילאָט	NOUN.MASC
פּילאָטן	NOUN.PL
פּילאָטנשול	NOUN.FEM
פּילאָטנשולן	NOUN.PL
פּילפּלענדיק	V.PRES.PTCP
פּילפּולעסטו	V.2.SG
פּילפּולעסט	V.2.SG
געפּילפּולעט	PART
פּינאַקאָטעקן	NOUN.PL
פּינאַקאָטעק	NOUN.FEM
פּינעסט	V.2.SG
פּינענדיק	V.PRES.PTCP
פּינע	NOUN.FEM
פּינעסטו	V.2.SG
געפּינעט	PART
פּינגפּאָנג	NOUN.MASC
פּינגװין	NOUN.MASC?
פּינגװינען	NOUN.PL
פּינקס	NOUN.MASC
פּינקסים	NOUN.PL
פּינקטלעכקײט	NOUN.FEM
פּינקטלעכקײטן	NOUN.PL
פּינטן	NOUN.PL
פּינט	NOUN.MASC
דרײַפּינטעלעך	NOUN.DIM.PL
דרײַפּינטלעך	NOUN.DIM.PL
פּינטעלעך	NOUN.DIM.PL
דרײַפּינטעלע	NOUN.DIM.SG
פּינטלסטו	V.2.SG
דרײַפּינטל	NOUN.DIM.SG
פּינטלסט	V.2.SG
פּינטעלע	NOUN.DIM.SG
פּינטל	NOUN.DIM.SG
פּינטלענדיק	V.PRES.PTCP
פּינטשער	NOUN.MASC
פּינטשערס	NOUN.MASC.PL
פּיניעסט	V.2.SG
פּיניעסטו	V.2.SG
געפּיניעט	PART
פּיניעס	N
פּיניענדיק	V.PRES.PTCP
פּיפּערנאָטעריש	ADJ
פּיפּערנאָטער	NOUN.MASC
פּיפּערנאָטערס	NOUN.MASC.PL
געפּיפּקעט	PART
פּיפּקענדיק	V.PRES.PTCP
פּיפּקעסט	V.2.SG
פּיפּקעסטו	V.2.SG
פּיפּס	NOUN.MASC
פּיפּסן	NOUN.PL
פּיפּסערס	NOUN.MASC.PL
פּיפּסער	NOUN.MASC
פּיפּסניקעס	NOUN.PL
פּיפּסניק	NOUN.MASC
פּיראַמידן	NOUN.PL
פּיראַמיד	NOUN.MASC
פּיראַמידע	NOUN
פּיראַמידעס	NOUN.PL
פּיראַט	NOUN.MASC
פּיראַטן	NOUN.PL
פּירעזשקע	NOUN.FEM
פּירעזשקעס	NOUN.FEM.PL
פּירגעס	NOUN.FEM.PL
פּירגע	NOUN.FEM
פּיראָג	NOUN.MASC
פּיראָגן	NOUN.PL
פּירסום	NOUN.MASC
פּירסעם־אַגענט	NOUN.MASC
פּירסעם־אַגענטן	NOUN.PL
פּישנדיק	V.PRES.PTCP
אױספּישנדיק	PRES.PTCP
אױסגעפּישט	UNK1
אױספּישן	V.INF
געפּישט	PART
פּישסט	V.2.SG
פּישסטו	V.2.SG
אױסצופּישן	V.INF
פּישע־פּײשע	NOUN.FEM
פּישעכצן	NOUN.PL
פּישעכץ	NOUN.NEUT
פּישערעלעך	NOUN.DIM.PL
פּישערס	NOUN.MASC.PL
פּישערל	NOUN.DIM.SG
פּישערעלע	NOUN.DIM.SG
פּישערלעך	NOUN.DIM.PL
פּישער	NOUN.MASC
פּישערקעס	NOUN.FEM.PL
פּישערקע	NOUN.FEM
פּישטש	NOUN.MASC
פּישטשן	NOUN.PL
געפּישטשעט	PART
פּישטשעסט	V.2.SG
פּישטשענדיק	V.PRES.PTCP
פּישטשעסטו	V.2.SG
פּישטשערס	NOUN.MASC.PL
פּישטשער	NOUN.MASC
פּישטשעװקע	NOUN.FEM
פּישטשעװקעס	NOUN.FEM.PL
פּיסקל	NOUN.DIM.SG
פּיסקעלעך	NOUN.DIM.PL
פּיסקעס	NOUN.PL
פּיסקעלע	NOUN.DIM.SG
פּיסק	NOUN.MASC
פּיסקלעך	NOUN.DIM.PL
פּיסקאַטע	NOUN.FEM
פּיסקאַטעס	NOUN.FEM.PL
פּיסקעװענדיק	V.PRES.PTCP
פּיסקעװעסט	V.2.SG
פּיסקעװעסטו	V.2.SG
געפּיסקעװעט	PART
פּיסקלענדיק	V.PRES.PTCP
געפּיסקלט	PART
פּיסקלסטו	V.2.SG
פּיסקלסט	V.2.SG
פּיסטאָלעטן	NOUN.PL
פּיסטאָלעט	NOUN
פּיסטױל	NOUN.MASC
פּיסטױלן	NOUN.PL
פּיטאַקלעך	NOUN.PL
פּיטאַקל	NOUN.NEUT
פּיץ־פּיצלעך	NOUN.PL
פּיצע	NOUN.FEM
פּיצעס	NOUN.FEM.PL
פּיטשעװקע	NOUN.FEM
פּיטשעװקעס	NOUN.FEM.PL
פּיטשניק	NOUN.MASC
פּיטשניקעס	NOUN.PL
פּיזשאַמעס	?.PL
פּיזמונות	NOUN.PL
פּיזמון	NOUN.MASC
פּיזמונים	NOUN.PL
פּכע	EXCLAM
פּלאַקאַט	NOUN.MASC
פּלאַקאַטן	NOUN.PL
פּלאַכטע	NOUN.FEM
פּלאַכטעס	NOUN.FEM.PL
פּלאַן	NOUN.MASC
פּלענער	NOUN.PL
פּלאַנען	NOUN.PL
פּלאַנעט	NOUN.MASC
פּלאַנעטן	NOUN.PL
פּלאַנעטעס	NOUN.FEM.PL
פּלאַנעטע	NOUN.FEM
פּלאַנעװענדיק	V.PRES.PTCP
געפּלאַנעװעט	PART
פּלאַנעװעסט	V.2.SG
פּלאַנעװעסטו	V.2.SG
אױספּלאַנירן	V.INF
פּלאַנירסט	V.2.SG
אױסצופּלאַנירן	V.INF
אױספּלאַנירנדיק	PRES.PTCP
פּלאַנירסטו	V.2.SG
פּלאַנירנדיק	V.PRES.PTCP
אױספּלאַנירט	UNK1
פּלאַנירונגען	NOUN.PL
פּלאַנירונג	NOUN.FEM
פּלאַנטאַטאָר	NOUN.MASC
פּלאַפּלענדיק	V.PRES.PTCP
נאָכפּלאַפּלען	V.INF
פּלאַפּלסטו	V.2.SG
נאָכפּלאַפּלענדיק	PRES.PTCP
אַרױסגעפּלאַפּלט	UNK1
נאָכגעפּלאַפּלט	UNK1
אַרױספּלאַפּלענדיק	PRES.PTCP
פּלאַפּלסט	V.2.SG
אַרױספּלאַפּלען	V.INF
אַרױסצופּלאַפּלען	V.INF
נאָכצופּלאַפּלען	V.INF
געפּלאַפּלט	PART
פּלאַפּלערײַען	NOUN.PL
פּלאַפּלערײַ	NOUN.NEUT
פּלאַסטיק	NOUN.MASC
פּלאַטע	NOUN.FEM
פּלאַטעס	NOUN.FEM.PL
פּלאַטפֿאָרמעס	NOUN.FEM.PL
פּלאַטפֿאָרמע	NOUN.FEM
פּלאַטינום	NOUN.MASC
פּלאַטאָנען	N.DAT
פּלאַטאָנס	N
פּלאַצסט	V.2.SG
אױסצופּלאַצן	V.INF
פּלאַץ	NOUN.MASC
אױספּלאַצנדיק	PRES.PTCP
אױספּלאַצן	V.INF
פּלעצער	NOUN.PL
געפּלאַצט	PART
אױסגעפּלאַצט	UNK1
פּלאַצסטו	V.2.SG
פּלאַצנדיק	V.PRES.PTCP
פּלאַצדאַרם	NOUN.MASC?
פּלאַצדאַרמען	NOUN.PL
פּלאַזשע	NOUN.FEM
פּלאַזשעס	NOUN.FEM.PL
פּלאַזשעניקעס	NOUN.PL
פּלאַזשעניק	NOUN.MASC
פּלאַזמע	NOUN.FEM
פּלעבאַניעס	NOUN.FEM.PL
פּלעבאַניע	NOUN.FEM
פּלעביציטן	NOUN.PL
פּלעביציט	NOUN.MASC
פּלעפֿסט	V.2.SG
פּלעפֿנדיק	V.PRES.PTCP
פּלעפֿסטו	V.2.SG
געפּלעפֿט	PART
פּלעגהינט	NOUN.PL
פּלעגהונט	NOUN.MASC
פּלען	NOUN.MASC
פּלעניקעס	NOUN.PL
פּלעניק	NOUN.MASC
פּלענום	NOUN.MASC
פּלענומס	NOUN.MASC.PL
אױספּלעטנדיק	PRES.PTCP
אױספּלעטן	V.INF
אױסצופּלעטן	V.INF
אױסגעפּלעט	UNK1
צוצופּלעטשן	V.INF
צופּלעטשן	V.INF
פּלעטשנדיק	V.PRES.PTCP
צופּלעטשנדיק	PRES.PTCP
פּלעטשסטו	V.2.SG
צוגעפּלעטשט	UNK1
פּלעטשסט	V.2.SG
געפּלעטשט	PART
פּלעטשעסט	V.2.SG
פּלעטשענדיק	V.PRES.PTCP
פּלעטשעסטו	V.2.SG
געפּלעטשעט	PART
פּלײאַדעס	?.PL
פּלײנען	NOUN.PL
פּלײן	NOUN.MASC
פּליטות	NOUN.PL
פּליטה	NOUN
האַ{ה}פּליטה	ADV
פּלײצעס	?.PL
פּליכעװאַט	ADJ
פּליכלעך	NOUN.DIM.PL
פּליכעלע	NOUN.DIM.SG
פּליכעס	NOUN.PL
פּליך	NOUN.MASC
פּליכל	NOUN.DIM.SG
פּליכן	NOUN.PL
פּליכעלעך	NOUN.DIM.PL
פּליכקעפּ	NOUN.PL
פּליכקאָפּ	NOUN.MASC
פּלימעניק	NOUN.MASC
פּלימעניקעס	NOUN.PL
פּלימעניצע	NOUN
פּלימעניצעס	NOUN.PL
פּליסן	ADJ
פּליס	NOUN.MASC
פּלישקע	NOUN.FEM
פּלישקעס	NOUN.FEM.PL
פּליטן	NOUN.PL
פּליט	NOUN.MASC
פּליטע	NOUN.FEM
פּליטעס	NOUN.FEM.PL
פּלעץ	NOUN.PL
פּליץ	NOUN.NEUT?
פּליטש	NOUN.NEUT?
פּלעטש	NOUN.PL
אָנגעפּלאָדיעט	UNK1
אָנצופּלאָדיען	V.INF
געפּלאָדיעט	PART
אָנפּלאָדיענדיק	PRES.PTCP
פּלאָדיעסטו	V.2.SG
פּלאָדיענדיק	V.PRES.PTCP
אָנפּלאָדיען	V.INF
פּלאָדיעסט	V.2.SG
פּלאָגסט	V.2.SG
געפּלאָגט	PART
פּלאָג	NOUN.FEM
פּלאָגסטו	V.2.SG
פּלאָגנדיק	V.PRES.PTCP
פּלאָמבעס	NOUN.FEM.PL
פּלאָמבע	NOUN.FEM
פּלאָמבירסט	V.2.SG
פּלאָמבירנדיק	V.PRES.PTCP
פּלאָמבירסטו	V.2.SG
פֿונאַנדערצופּלאָנטען	V.INF
אױסצופּלאָנטען	V.INF
פּלאָנטעסטו	V.2.SG
פֿונאַנדערפּלאָנטענדיק	PRES.PTCP
אױספּלאָנטענדיק	PRES.PTCP
אױספּלאָנטען	V.INF
אַרומגעפּלאָנטעט	UNK1
אױפֿפּלאָנטען	V.INF
פּלאָנטענדיק	V.PRES.PTCP
אױפֿצופּלאָנטען	V.INF
געפּלאָנטעט	PART
אױסגעפּלאָנטעט	UNK1
אַרײַנצופּלאָנטען	V.INF
אַרײַנגעפּלאָנטעט	UNK1
אַרומפּלאָנטענדיק	PRES.PTCP
אַרומפּלאָנטען	V.INF
פֿונאַנדערגעפּלאָנטעט	UNK1
פֿונאַנדערפּלאָנטען	V.INF
פּלאָנטעסט	V.2.SG
אַרומצופּלאָנטען	V.INF
אַרײַנפּלאָנטען	V.INF
אױפֿגעפּלאָנטעט	UNK1
אַרײַנפּלאָנטענדיק	PRES.PTCP
אױפֿפּלאָנטענדיק	PRES.PTCP
פּלאָנטענישן	NOUN.PL
פּלאָנטעניש	NOUN
צוצופּלאָנטערן	V.INF
אַרײַנפּלאָנטערן	V.INF
פּלאָנטערנדיק	V.PRES.PTCP
פֿונאַנדערגעפּלאָנטערט	UNK1
אַרײַנצופּלאָנטערן	V.INF
אַרײַנפּלאָנטערנדיק	PRES.PTCP
צופּלאָנטערן	V.INF
פּלאָנטערסט	V.2.SG
אַרומגעפּלאָנטערט	UNK1
פּלאָנטער	NOUN.MASC
צוגעפּלאָנטערט	UNK1
צופּלאָנטערנדיק	PRES.PTCP
פֿונאַנדערצופּלאָנטערן	V.INF
אַרײַנגעפּלאָנטערט	UNK1
פֿונאַנדערפּלאָנטערנדיק	PRES.PTCP
פּלאָנטערסטו	V.2.SG
פּלאָנטערס	NOUN.MASC.PL
געפּלאָנטערט	PART
אַרומפּלאָנטערן	V.INF
אַרומצופּלאָנטערן	V.INF
פֿונאַנדערפּלאָנטערן	V.INF
אַרומפּלאָנטערנדיק	PRES.PTCP
פּלאָנטערניש	NOUN.MASC
פּלאָנטערנישן	NOUN.PL
פּלאָש	NOUN.MASC
פּלאָשן	NOUN.PL
געפּלאָשעט	PART
פּלאָשעסטו	V.2.SG
פּלאָשעסט	V.2.SG
פּלאָשענדיק	V.PRES.PTCP
פּלאָסטערן	NOUN.PL
פּלאָסטן	NOUN.PL
פּלאָטעס	NOUN.FEM.PL
פּלאָטע	NOUN.FEM
פּלאָטקעס	NOUN.FEM.PL
פּלאָטקע	NOUN.FEM
פּלױדערנדיק	V.PRES.PTCP
פּלױדערסטו	V.2.SG
פּלױדערסט	V.2.SG
פּלױדערדיק	ADJ
געפּלױדערט	PART
פּלױדערײַען	NOUN.PL
פּלױדערײַ	NOUN.NEUT
פּלױדערזעק	NOUN.PL
פּלױדערזאַק	NOUN.MASC
פּלונית	NOUN
פּלוניתטעס	NOUN.PL
פּלוניתטע	NOUN.FEM
געפּלױשט	PART
פּלױשסט	V.2.SG
פּלױשנדיק	V.PRES.PTCP
פּלױשסטו	V.2.SG
פּלױט	NOUN.MASC
פּלױטן	NOUN.PL
פּלודערן	NOUN.PL
פּלוג	NOUN.MASC?
פּלוגתּות	NOUN.PL
פּלוגתּא	NOUN.FEM
געפּלומפּט	PART
פּלומפּסטו	V.2.SG
פּלומפּסט	V.2.SG
אױסגעפּלומפּט	UNK1
אױספּלומפּן	V.INF
פּלומפּעלעך	NOUN.DIM.PL
פּלומפּ	NOUN.MASC
פּלומפּל	NOUN.DIM.SG
אױסצופּלומפּן	V.INF
פּלומפּעלע	NOUN.DIM.SG
