פֿאַרטריבן,84
פֿאַרבאָרגן,49
װער-נאָר,2
טרעפֿט,10
דערהרגען,1
הרגעט,8
זיבנפֿאַך,3
נקמה,38
צײכן,56
קײנער,116
"דערשלאָגן.
",8
אַװעקגעגאַנגען,86
באַזעצט,73
נוֹד,1
חַנוכן,2
שטאָט,596
זון,1884
חַנוך,1
עִירָד,2
מחױָאֵלן,1
מחױָאֵל,1
מתושָאֵלן,1
מתושָאֵל,1
לֶמֶכן,6
לֶמֶך,5
װײַבער,192
עָדָה,4
צװײטער,51
צִלָה,3
יָבָלן,1
זיצן,189
געצעלטן,59
פֿי,60
יובַל,1
האַלטן,163
האַרף,24
פֿלייט,1
תּובַל-קַיִנען,2
אױסשלײַפֿער,1
קופּער-,1
אײַזנגעצײַג,2
שװעסטער,89
"נַעֲמָה.
",1
װײַבערעָדָה,1
הערט,146
פֿאַרנעמט,15
װאָרט,505
הרגע,4
װוּנד,10
ייִנגל,84
בײַל,2
װערט,363
זיבן,379
"זיבעציק.
",12
אָָדָם,3
שֵת,6
«,3
באַשערט,15
אַנדער,110
אָנשטאָט,54
געהרגעט»,1
שֵתן,3
אֶנוֹש,4
דענצמאָל,184
מען,421
אָנגעהױבן,42
"יהוה.

",13
בוך,125
געבורטן,36
געלעבט,47
הונדערט,541
דרײַסיק,151
יאָר,692
נאָכדעם,50
אַכט,97
זין,774
טעכטער,217
נײַן,47
"געשטאָרבן.
",19
פֿינף,288
אֶנוֹשן,2
צװעלף,82
נײַנציק,14
קֵינָנען,3
פֿופֿצן,15
אֶנושן,1
קֵינָן,3
זיבעציק,78
מַהלַלאֵלן,4
פֿערציק,113
צען,187
מַהלַלאֵל,3
זעכציק,56
יֶרֶדן,3
יֶרֶד,3
חַנוֹכן,3
חַנוֹך,10
מתושֶלַחן,3
געגאַנגען,436
דרײַ,401
"צוגענומען.
",1
מתושֶלַח,2
אַכציק,35
נֹח,23
דאָזיקער,163
נחמה,2
אונדזערע,319
הענט,259
װעגן,789
נֹחן,14
אַלט,157
שֵמען,5
חָמען,3
"יֶפֿתן.

",1
שײן,49
װעמען-נאָר,1
אױסדערװײלט,73
בלײַבן,125
פֿאָרט,10
צװאַנציק,249
"יאָר.
",31
נפֿילים,3
יענע,130
דערנאָך,74
קומען,539
גיבורים,17
פֿאַרצײַטן,20
מענער,235
"נאָמען.
",11
בײז,204
טראַכטונג,18
מחשבות,1
האַרצן,306
רק,7
בײזן,49
גאַנצן,523
חרטה,35
באַקומערט,2
אָפּמעקן,4
בהמה,81
שרץ,13
פֿױגל,54
לײַטזעליקײט,41
"גאָט.
נֹחַ
",1
גערעכטער,30
ערלעכער,2
דור,6
שֵם,12
חָם,13
יֶפֶת,2
פֿאַרדאָרבן,24
פֿול,125
אומרעכט,122
לײַב,170
סוף,5
לײַבער,40
געקומען,785
פול,7
ברענג,72
מאַך,97
תּבֿה,26
פּימסנהאָלץ,1
קאַמערן,43
אױספּעכן,1
אינעװײניק,53
אױסנװײניק,12
פּעך,4
אײלן,187
לענג,86
פֿופֿציק,135
ברײט,127
הײך,93
גיבלדאַך,1
אײל,227
[די,6
ברײט],1
פֿאַרענדיקן,4
אױבן,57
אײַנגאַנג,138
זײַט,468
אונטערשטן,5
שטאָק,3
מבול,11
אומצוברענגען,31
אומקומען,9
אױפֿשטעלן,63
בונד,279
אַרײַנגײן,50
דײַנע,1414
זינס,7
לעבט,87
אַרײַנברענגען,12
איטלעכן,178
דערהאַלטן,12
בײַם,354
זָכר,18
נעם,123
עסנװאַרג,10
זאַמל,19
אײַן,99
כּדי,670
"עסן.
",7
באַפֿױלן,344
"געטאָן.

",6
גײ,225
אַרײַן,131
גאַנץ,266
הױזגעזינט,48
גערעכט,49
דאָזיקן,365
רײנע,18
איטלעכס,13
פּאָר,10
רײן,87
פױגלען,2
פערציק,5
נעכט,13
באַשטאַנד,9
"באַפױלן.
",1
זעקס,189
אַרײַנגעגאַנגען,65
באַפױלן,3
"נֹחן.
",1
הונדערטסטן,1
נֹחס,5
חודש,75
זיבעצנטן,5
אױסגעבראָכן,11
קװאַלן,22
גרױסן,97
תּהָום,20
פענצטער,1
געעפנט,1
רעגן,57
"נעכט.
",3
אײגענעם,34
עופות,1
פױגל,3
געפליגל,1
פֿאַרשלאָסן,33
הינטער,158
"אים.
",88
געמערט,48
געטראָגן,45
אױפֿגעהױבן,144
געשטאַרקט,35
אױבערפלעך,1
פֿאַרדעקט,31
הױכע,28
בערג,167
פופצן,1
אַריבער,107
אומגעקומען,13
באַװעגט,3
סײַ,111
חיה,62
הױך,54
געשטאָרבן,156
אָפּגעמעקט,6
געבליבן,163
"טעג.

",8
געדאַכט,49
אַריבערגײן,58
װינט,65
אײַנגעשטילט,5
פֿענצטער,34
פֿאַרהאַלטן,17
געהאַלטן,126
אָפּטרעטן,10
געמינערט,30
אַרָרָט,4
ביזן,150
צענטן,27
ערשטן,96
באַװיזן,61
שפּיצן,13
